,kalori,protein,karbohidrat,lemak
Djibokum masakan,248.0,10.0,40.9,2.3
Dodol,395.0,3.0,81.2,5.7
Dodol bali,298.0,3.7,65.9,2.1
Dodol banjarmasin,368.0,2.6,70.0,8.6
Dodol galamai,348.0,0.4,76.1,3.8
Dodol kedondong,331.0,1.9,63.8,7.6
Dodol manado,373.0,4.3,51.9,16.5
Dodonkol ,17.5,3.3,39.5,2.3
Domba daging gemuk segar,317.0,15.7,0.0,27.7
Domba daging kurus  segar,202.0,17.1,0.0,14.8
Domba ginjal segar,100.0,16.6,1.0,3.3
Duku,63.0,1.0,16.1,0.2
Durian,134.0,2.5,28.0,3.0
Duwet segar,80.0,0.5,18.2,0.6
Eceng Gondok,18.0,1.0,3.8,0.2
Embacang,98.0,1.4,25.4,0.2
Empal (daging) Goreng masakan,248.0,36.2,10.1,6.9
Empal Goreng,590.0,18.5,0.0,57.0
Emping (kerupuk melinjo),345.0,12.0,71.5,1.5
Emping beras,403.0,10.6,85.3,2.2
Emping komak,355.0,17.8,60.7,4.6
Encung asam segar,122.0,3.5,17.5,4.5
Enting-enting gepuk hello kity,538.0,13.6,52.6,30.3
Enting-enting gepuk kacang tanah,524.0,13.3,52.0,29.2
Enting-enting wijen,565.0,18.2,36.8,38.4
Erbis,70.0,0.6,18.9,0.0
Es krim,210.0,4.0,20.6,12.5
Es Krim (Coconut milk) ,156.7,3.0,32.7,1.7
Es Mambo ,152.0,0.0,37.6,0.0
Es Sirup ,44.8,0.0,11.3,0.0
Fillet o-fish,270.0,12.3,19.3,15.9
Gadeng/Gadung kering,322.0,2.4,76.6,0.6
Gado-gado,137.0,6.1,21.0,3.2
Gadung kukus,88.0,0.8,20.9,0.3
Gadung mentah,101.0,2.1,23.2,0.2
Gadung ubi kukus,88.0,0.6,20.9,0.3
Gadung ubi segar,100.0,0.9,23.5,0.3
Gambas (Oyong),18.0,0.8,4.1,0.2
Gambas lodeh,13.0,0.3,1.6,0.6
Gandaria,68.0,0.7,18.0,0.1
Ganyong kukus,100.0,0.8,23.8,0.2
Ganyong mentah,95.0,1.0,22.6,0.1
Ganyong rebus,100.0,0.8,23.8,0.2
Ganyong segar,77.0,0.6,18.4,0.2
